code_insee;prixm2;annee
54166;;2017
54099;1187;2017
55270;;2017
60196;1867;2017
72054;1164;2017
44005;1652;2017
49200;1681;2017
61483;1543;2017
27198;1210;2017
27157;863;2017
39017;942;2017
27085;1313;2017
27349;1483;2017
1338;1252;2017
79013;965;2017
8115;;2017
36202;1135;2017
28183;1596;2017
72329;1386;2017
72026;1147;2017
22203;1118;2017
50492;917;2017
46103;1453;2017
39021;1038;2017
72101;1160;2017
59185;1406;2017
46138;1221;2017
50535;1046;2017
50565;1339;2017
48050;3239;2017
56197;1166;2017
32231;1238;2017
73290;3022;2017
54441;979;2017
32235;960;2017
48009;1206;2017
19010;1222;2017
32070;828;2017
32111;;2017
54535;787;2017
15142;1463;2017
53017;967;2017
32191;;2017
54112;814;2017
16230;1130;2017
39455;;2017
32245;543;2017
32125;;2017
32175;1362;2017
32214;1740;2017
57318;;2017
64118;;2017
32414;915;2017
57675;;2017
65248;1550;2017
65429;1302;2017
65472;;2017
48146;1554;2017
32445;1228;2017
54599;938;2017
14200;1704;2017
65137;641;2017
65219;1085;2017
14406;1062;2017
32151;;2017
14355;1496;2017
16023;882;2017
32330;580;2017
65215;;2017
57595;;2017
32390;845;2017
72308;1391;2017
76146;1450;2017
54564;950;2017
57077;;2017
54249;963;2017
37123;1720;2017
55281;;2017
54087;;2017
25460;1367;2017
33268;1685;2017
14658;900;2017
48094;2484;2017
53161;1109;2017
11015;1139;2017
15138;1167;2017
51171;1788;2017
57482;;2017
32005;;2017
27062;1155;2017
27089;1100;2017
39290;1009;2017
64390;1323;2017
64394;884;2017
14281;945;2017
38297;1587;2017
37021;1161;2017
22107;996;2017
69024;2005;2017
33323;1269;2017
32093;815;2017
90005;1793;2017
79136;987;2017
14712;1827;2017
40243;1222;2017
4033;6680;2017
64225;956;2017
45051;1324;2017
89405;740;2017
58204;1164;2017
32439;624;2017
88475;;2017
25156;1320;2017
21195;894;2017
32380;1056;2017
32244;575;2017
50431;734;2017
32362;657;2017
32423;1361;2017
32135;625;2017
14591;1244;2017
32458;1191;2017
65387;1440;2017
85009;1043;2017
78165;3154;2017
65130;580;2017
7306;3027;2017
32443;1202;2017
32434;;2017
39576;834;2017
54244;;2017
39537;;2017
50095;988;2017
77316;2346;2017
54200;1653;2017
32001;992;2017
24053;1364;2017
24026;1152;2017
24312;1057;2017
24147;957;2017
65432;1358;2017
17008;1702;2017
16204;757;2017
81218;1343;2017
67202;;2017
51075;1974;2017
14527;1472;2017
14654;1230;2017
14005;1249;2017
14456;1600;2017
14410;1623;2017
14431;1302;2017
89003;1199;2017
25334;1453;2017
38456;;2017
79063;951;2017
24087;1488;2017
69159;2491;2017
85152;1595;2017
22209;1918;2017
46268;1003;2017
14475;1588;2017
8053;1191;2017
50400;1130;2017
3168;1415;2017
32063;1112;2017
32081;;2017
50099;1229;2017
14342;1036;2017
76258;1407;2017
27294;1089;2017
64517;1782;2017
65314;1594;2017
32450;1043;2017
27679;1486;2017
64084;762;2017
79185;1243;2017
32323;675;2017
48139;784;2017
35069;1923;2017
32116;1295;2017
65081;2199;2017
65414;1445;2017
32114;991;2017
32419;1086;2017
23192;974;2017
65452;1057;2017
32028;;2017
17208;1713;2017
27676;1413;2017
71582;1640;2017
24362;1593;2017
65399;2771;2017
89130;1008;2017
17376;1886;2017
32373;1545;2017
33064;771;2017
24253;1390;2017
24554;1062;2017
19252;815;2017
32361;;2017
32375;;2017
65061;;2017
65196;1204;2017
32455;1684;2017
32275;;2017
65170;;2017
39491;1364;2017
59211;1848;2017
32042;;2017
32216;1126;2017
29076;1549;2017
2316;941;2017
32020;1964;2017
32015;;2017
12090;1661;2017
65341;1594;2017
26121;1473;2017
50260;864;2017
72262;1148;2017
8491;1153;2017
11414;571;2017
65244;717;2017
64452;1041;2017
70489;1181;2017
61196;1338;2017
38407;1445;2017
72025;992;2017
65160;934;2017
65250;652;2017
32409;;2017
65358;890;2017
65156;1212;2017
65383;582;2017
2255;721;2017
32226;;2017
38292;1651;2017
65397;;2017
31412;984;2017
41171;1031;2017
65254;1091;2017
65476;;2017
32383;878;2017
32058;930;2017
32303;1205;2017
69228;2145;2017
32342;1185;2017
32446;672;2017
2610;1526;2017
32167;1324;2017
32008;;2017
27645;533;2017
65174;;2017
60072;1493;2017
61474;1149;2017
65264;639;2017
64193;938;2017
65049;1129;2017
73227;6151;2017
65273;810;2017
64323;832;2017
41142;1157;2017
41167;1247;2017
32273;1531;2017
27631;1121;2017
41055;1280;2017
65304;1148;2017
25147;1830;2017
78403;1879;2017
28330;918;2017
32205;;2017
28103;1086;2017
28012;949;2017
32367;;2017
85159;999;2017
16046;1228;2017
9062;1153;2017
29021;1147;2017
32233;1152;2017
65240;937;2017
32030;636;2017
32427;889;2017
64451;967;2017
5101;2568;2017
65406;1145;2017
65121;1245;2017
33106;1246;2017
65102;;2017
78033;2900;2017
65297;;2017
14349;1524;2017
65425;1079;2017
64173;;2017
39530;1064;2017
39273;;2017
39485;1182;2017
39018;943;2017
85158;915;2017
32464;851;2017
27412;2004;2017
32177;656;2017
32034;2337;2017
17369;4890;2017
54153;;2017
14347;946;2017
14143;1123;2017
27090;1315;2017
32256;1024;2017
50139;965;2017
32389;993;2017
14579;774;2017
33435;1304;2017
32257;;2017
14011;1085;2017
32402;;2017
50444;975;2017
32293;1760;2017
32215;1946;2017
27531;791;2017
14672;1178;2017
14027;1066;2017
32156;1321;2017
14357;754;2017
1098;1185;2017
24117;1043;2017
54511;;2017
32172;759;2017
32200;756;2017
51650;;2017
32071;1828;2017
27354;2089;2017
48027;1101;2017
32393;;2017
32104;3124;2017
32029;1728;2017
65269;;2017
32381;1328;2017
24216;838;2017
27425;1255;2017
24490;;2017
27572;1264;2017
35191;942;2017
39008;1510;2017
50487;979;2017
35257;1120;2017
22158;943;2017
54353;1012;2017
56061;1050;2017
56033;1076;2017
35168;1292;2017
2476;1054;2017
59545;1208;2017
59395;780;2017
2784;;2017
2647;731;2017
59136;899;2017
57231;;2017
2753;731;2017
2760;;2017
2683;;2017
2358;729;2017
59118;833;2017
2769;2859;2017
2830;798;2017
2783;997;2017
2757;639;2017
2488;;2017
2061;829;2017
2006;950;2017
32254;1261;2017
80295;1137;2017
53228;841;2017
48087;724;2017
55256;861;2017
25222;1475;2017
37232;1136;2017
17222;2380;2017
27654;1064;2017
55265;;2017
54477;722;2017
57708;;2017
54182;673;2017
46063;1214;2017
46156;860;2017
39510;3114;2017
22055;1909;2017
38253;3078;2017
27327;748;2017
73235;2680;2017
32045;1478;2017
54357;1659;2017
52140;991;2017
50184;1423;2017
50230;1314;2017
50238;772;2017
50598;1296;2017
32065;647;2017
50162;1624;2017
50294;1179;2017
50142;1283;2017
50469;1910;2017
65311;;2017
32394;1612;2017
50135;1262;2017
50539;1382;2017
50619;2010;2017
50618;1061;2017
50209;1368;2017
50175;745;2017
50305;1581;2017
65299;1267;2017
50604;1298;2017
50087;1490;2017
55431;;2017
50129;1586;2017
50172;1798;2017
50149;1503;2017
50471;1282;2017
50335;1167;2017
50097;1608;2017
57559;;2017
50285;880;2017
57140;;2017
50580;854;2017
50160;;2017
31587;2484;2017
50240;1690;2017
50503;;2017
50395;1023;2017
50633;;2017
50041;1521;2017
50575;1311;2017
50382;1992;2017
50030;2927;2017
50013;1374;2017
50196;1455;2017
50296;790;2017
50096;1012;2017
50033;1817;2017
50480;1630;2017
50412;1784;2017
50643;1367;2017
50594;1123;2017
50222;1295;2017
67282;;2017
50572;;2017
50519;1166;2017
31320;1305;2017
50599;1320;2017
50402;1610;2017
50576;2039;2017
50562;1907;2017
50194;685;2017
50593;1431;2017
50567;1275;2017
50587;;2017
17353;1684;2017
50183;1022;2017
50498;1299;2017
50577;1335;2017
50083;1156;2017
50454;1703;2017
50490;2714;2017
50031;2323;2017
50648;1400;2017
50045;1294;2017
50442;1133;2017
67480;;2017
50138;1135;2017
50401;998;2017
67267;;2017
50615;1547;2017
50055;;2017
50235;1736;2017
50522;1988;2017
50101;2126;2017
50425;1060;2017
50369;992;2017
50299;855;2017
50082;1312;2017
50536;514;2017
50551;1088;2017
50049;1430;2017
50332;1275;2017
50585;1615;2017
50486;780;2017
67247;;2017
50086;1141;2017
50079;1708;2017
88501;929;2017
50579;1048;2017
50596;932;2017
80529;940;2017
50433;1631;2017
50613;2088;2017
50077;1988;2017
78123;3223;2017
50258;1000;2017
50178;1705;2017
50342;1301;2017
55400;;2017
55458;1177;2017
55047;;2017
55257;;2017
65025;1817;2017
55565;631;2017
55439;538;2017
55189;;2017
55489;;2017
55242;863;2017
50150;1402;2017
55557;;2017
67312;;2017
55244;;2017
55171;917;2017
50621;2000;2017
55094;838;2017
50461;726;2017
55219;;2017
55545;1288;2017
55043;1274;2017
55222;;2017
55505;1271;2017
55317;1078;2017
55579;;2017
55105;1087;2017
55399;;2017
55055;;2017
55072;;2017
55361;;2017
55356;837;2017
50417;1218;2017
55352;;2017
55079;1338;2017
55371;;2017
55334;;2017
50358;;2017
55081;1327;2017
55472;;2017
55514;998;2017
55435;1304;2017
58155;949;2017
55453;;2017
50186;1178;2017
50384;1477;2017
55569;;2017
55525;;2017
55199;1243;2017
55272;961;2017
55560;;2017
55531;869;2017
50467;1051;2017
55041;1186;2017
2598;1623;2017
50634;605;2017
50156;;2017
50588;1274;2017
50190;775;2017
50478;1185;2017
50251;858;2017
50421;3063;2017
50268;868;2017
50022;567;2017
50578;;2017
55426;1120;2017
55517;1151;2017
50241;904;2017
50169;680;2017
50026;1625;2017
55128;;2017
55185;657;2017
50207;1337;2017
55497;;2017
55186;1080;2017
50610;1468;2017
50105;;2017
50457;959;2017
50370;1156;2017
55577;;2017
55038;;2017
67520;;2017
50435;892;2017
50341;1175;2017
50511;1197;2017
50227;871;2017
50387;1084;2017
50507;1334;2017
50176;1438;2017
50233;1797;2017
50270;1329;2017
50374;1118;2017
50360;1422;2017
50064;1403;2017
50390;833;2017
50430;;2017
50426;1037;2017
35150;1388;2017
55366;1097;2017
67313;;2017
55383;;2017
35115;1387;2017
35142;984;2017
35100;;2017
33052;1330;2017
35271;1236;2017
35137;1353;2017
35138;1196;2017
55065;;2017
35357;1027;2017
35190;825;2017
35214;1046;2017
35021;1097;2017
35324;1171;2017
35018;1087;2017
35174;785;2017
35086;959;2017
35112;1271;2017
35163;1102;2017
33347;1315;2017
35162;944;2017
35215;1133;2017
35062;1203;2017
2821;1066;2017
35157;1156;2017
35310;1550;2017
35025;1415;2017
35230;1065;2017
67040;;2017
35348;;2017
35063;1192;2017
35111;;2017
49299;1434;2017
35243;1344;2017
35269;;2017
2622;;2017
35293;;2017
35282;1326;2017
35261;805;2017
35304;1116;2017
49027;1168;2017
49236;1186;2017
49070;749;2017
49102;922;2017
49373;1104;2017
14558;1992;2017
49310;1197;2017
49231;1350;2017
27482;2136;2017
49057;980;2017
27011;1394;2017
55285;;2017
67532;;2017
55123;822;2017
27663;1281;2017
55369;1083;2017
55581;;2017
55014;908;2017
67189;;2017
55419;;2017
55194;685;2017
55134;;2017
49160;1311;2017
55423;;2017
55101;890;2017
95306;3460;2017
55241;;2017
49338;1533;2017
65446;1270;2017
32159;1384;2017
32187;555;2017
32238;;2017
54443;;2017
49267;1957;2017
32128;647;2017
55117;774;2017
67485;;2017
55212;;2017
55409;;2017
55040;690;2017
55389;;2017
65457;;2017
55304;;2017
60501;2008;2017
67548;;2017
39234;;2017
55049;814;2017
55064;1250;2017
67554;;2017
67256;;2017
67383;;2017
31118;1884;2017
67555;;2017
72261;838;2017
49007;2003;2017
82005;1702;2017
55295;;2017
55382;809;2017
55416;;2017
55532;;2017
55355;608;2017
55271;2172;2017
55541;1110;2017
55155;952;2017
67127;;2017
55404;1282;2017
55448;;2017
39575;2568;2017
55482;;2017
55333;554;2017
55175;;2017
55045;;2017
55384;;2017
55141;;2017
55138;;2017
2262;1031;2017
55420;;2017
55506;;2017
55236;1236;2017
76071;925;2017
55269;;2017
55411;;2017
55032;;2017
55512;;2017
55207;;2017
55200;905;2017
55108;562;2017
31091;1721;2017
55301;;2017
55570;;2017
31507;2114;2017
55166;1442;2017
55498;950;2017
55127;;2017
55009;1182;2017
76478;1034;2017
55129;772;2017
55263;;2017
55584;1067;2017
55042;1303;2017
58018;500;2017
2493;1218;2017
55120;1397;2017
55479;;2017
55290;822;2017
55258;717;2017
55466;724;2017
55460;614;2017
55220;;2017
55476;1079;2017
91148;2249;2017
55282;;2017
55178;728;2017
55298;1051;2017
55062;;2017
55210;;2017
55504;1021;2017
55467;983;2017
55518;;2017
55058;1182;2017
68290;;2017
27319;887;2017
55302;962;2017
91145;2692;2017
55184;959;2017
54086;992;2017
55179;;2017
55044;;2017
55407;;2017
55007;;2017
55012;877;2017
55526;1047;2017
76280;973;2017
55114;;2017
91374;2131;2017
49099;1441;2017
55085;993;2017
55454;;2017
55446;;2017
55401;;2017
49355;1432;2017
91547;1911;2017
49343;1517;2017
55229;1589;2017
55553;884;2017
55289;;2017
55528;882;2017
49352;1400;2017
49240;1021;2017
33148;1941;2017
55264;;2017
55029;1113;2017
55122;1081;2017
49336;779;2017
55519;968;2017
55372;931;2017
67452;;2017
49058;947;2017
2515;1066;2017
49381;1204;2017
67085;;2017
55496;;2017
55488;1409;2017
55221;737;2017
49371;1196;2017
49193;1214;2017
55320;1550;2017
55566;;2017
55507;855;2017
55160;;2017
28230;1637;2017
55157;;2017
49260;1494;2017
71361;850;2017
49192;1376;2017
49195;1224;2017
49269;1487;2017
55415;;2017
55540;;2017
55251;1413;2017
33086;2099;2017
55177;;2017
49332;1407;2017
45021;1399;2017
33466;1772;2017
49109;1177;2017
49211;912;2017
33303;1517;2017
33079;1058;2017
33015;1773;2017
76570;753;2017
33531;2570;2017
33539;1607;2017
33393;1422;2017
33328;1649;2017
14407;2018;2017
33147;1156;2017
33185;1900;2017
33243;1820;2017
33298;2066;2017
33413;1595;2017
33157;1392;2017
14254;2075;2017
33088;1243;2017
33478;1200;2017
33166;889;2017
14242;2236;2017
33373;1267;2017
33124;1172;2017
33445;1301;2017
71084;1249;2017
33138;1255;2017
55197;;2017
33532;1286;2017
55111;641;2017
33034;1437;2017
33230;1223;2017
33315;1176;2017
33362;1178;2017
33385;1280;2017
33154;1135;2017
33198;1239;2017
55465;;2017
55260;;2017
33218;1289;2017
33001;1348;2017
33191;779;2017
